,title,company,location,job_type,languages,soft_skills,skills,degree_type,degree_field,sub_category_1,sub_category_2,sub_category_3,experience_periode,Homeoffice,teilzeit,Vollzeit
0,Procurement Specialist Data Science Artificial Intelligence,Leadec Management Central Europe BV & Co. KG,Stuttgart,['Feste Anstellung'],"['german', 'english']",['management'],"['sql', 'python', 'programming language', 'data science', 'database']",['degree'],"['economic', 'engineering', 'computer science', 'business']",Business,Procurement,Strategic Sourcing,,True,False,True
1,Dhbw Studies - Data Science Artificial Intelligence,Liebherr-International Deutschland GmbH,Biberach,,['english'],['communication'],"['python', 'databricks', 'spark', 'cloud computing', 'ci/cd', 'programming language', 'bi tools', 'data science', 'big data tool', 'data warehouse']",['degree'],['business'],IT,Data & AI,Data Science,,False,False,False
2,Data Science Area Python Databricks,ARAG SE,Düsseldorf,"['Studentenjobs', 'Werkstudent']",['german'],"['analytical', 'communication', 'initiative']","['programming language', 'data science']",['degree'],['computer science'],IT,Data & AI,Data Science,,True,True,False
3,Dual Studies Data Science Artificial Intelligence,Deloitte,"Düsseldorf, Mannheim, Stuttgart","['Ausbildung', 'Studium']","['german', 'english']",['communication'],"['devops/mlops', 'data science']",,,IT,Data & AI,Data Science,,False,False,True
4,Dual Studies Data Science Artificial Intelligence - Smart Operations Management,Lidl Stiftung & Co. KG,Neckarsulm,"['Ausbildung', 'Studium']",,['analytical'],['data science'],,,IT,Data & AI,Data Science,,False,False,True
5,Business Informatics - Data Science,Lidl Stiftung & Co. KG,Neckarsulm,"['Ausbildung', 'Studium']",,['communicates'],"['programming language', 'data science']",['degree'],['computer science'],IT,Data & AI,Data Science,,False,False,True
6,Special Tasks Area Data Science,Land Schleswig Holstein,Lübeck,['Feste Anstellung'],"['german', 'english']",,"['azure', 'data science', 'ml/ai framework']",,,IT,Data & AI,Data Science,2y,False,False,True
7,Data Science Artificial Intelligence,Schwarz Corporate Solutions,"Neckarsulm, Heilbronn","['Ausbildung', 'Studium']",,['management'],"['sql', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Science,,False,False,True
8,Data Science Artificial Intelligence,STACKIT,"Neckarsulm, Heilbronn","['Ausbildung', 'Studium']",,['management'],"['sql', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Science,,False,False,True
9,Data Science Artificial Intelligence,Schwarz Corporate Solutions,"Neckarsulm, Heilbronn","['Ausbildung', 'Studium']",,['management'],"['sql', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Science,,False,False,True
10,Data Science Artificial Intelligence,Schwarz IT,"Neckarsulm, Heilbronn","['Ausbildung', 'Studium']",,['management'],"['sql', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Science,,False,False,True
11,Duales Master-Studium Data Science Artificial Intelligence,NRail GmbH,"Hamburg, Wedel","['Ausbildung', 'Studium']",,"['analytical', 'management']","['excel', 'sql', 'python', 'r', 'programming language', 'data science', 'database']",,,IT,Data & AI,Data Science,,True,False,True
12,- Risk Management Data Science,Sparkassen Rating und Risikosysteme GmbH,Berlin,"['Studentenjobs', 'Werkstudent']",,,"['python', 'azure', 'programming language', 'devops/mlops', 'iac']",,,IT,Data & AI,Data Science,,True,True,False
13,Data Science ,AP Sensing GmbH,Böblingen bei Stuttgart,['Feste Anstellung'],,['management'],"['data foundation', 'data science']",,,IT,Data & AI,Data Science,,True,False,True
14,Data Science,1&1 Versatel GmbH,Düsseldorf,"['Studentenjobs', 'Werkstudent']","['german', 'english']","['communicates', 'communicate', 'analytical', 'initiative']","['excel', 'data science']",,,IT,Data & AI,Data Science,,True,True,False
15,Science Manager Heilbronn Data Science ,Technische Universität München,Heilbronn,['Feste Anstellung'],"['german', 'english']",['analytical'],"['python', 'power bi', 'azure', 'programming language', 'bi tools', 'data science', 'database']",['degree'],"['computer science', 'business']",IT,Data & AI,Data Science,3y,True,False,True
16,Speaker Research Data Science Artificial Intelligence Machine Learning,Bundesamt für die Sicherheit der nuklearen Entsorgung (BASE),"Berlin, Köln, Salzgitter",['Feste Anstellung'],"['german', 'english']","['team player', 'communication']","['python', 'gcp', 'programming language', 'data science', 'ml techniques', 'database']",,,IT,Data & AI,Data Science,,True,True,True
