title,company,location,job_type,employment_type,description,requirements
Manager SAP PP - S/4HANA Manufacturing (m/w/d),cbs Corporate Business Solutions Unternehmensberatung GmbH,"Heidelberg, Dortmund, Hamburg, München, Berlin, Stuttgart, Freiburg im Breisgau, Raunheim, Leipzig",Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben.Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will.Der Bereich Produktion ist ein Kernthema unserer Beratung. cbs verfügt über profunde Prozess- und Technologiekenntnisse in der Fertigungsindustrie, um optimierte End-to-End-Prozessketten zu etablieren.Zur Verstärkung unseres Teams suchen wir erfahreneSAP Manager oder Teamleads (w/m/d) im Bereich Produktionsplanung (SAP PP), die sich gerne in unsere innovativen Projekte einbringen möchten.","Erstklassiger Hochschulabschluss in BWL, (Wirtschafts-)Informatik, Maschinenbau, Logistik oder vergleichbare QualifikationMindestens 4 Jahre Berufserfahrung als SAP Logistik Berater oder Anwendungsbetreuer in der Industrie mit dem Schwerpunkt ProduktionsplanungIdealerweise erste Projekterfahrung in der Einführung von S/4HANAErste Erfahrungen als Projektleiter von fachbereichsnahen SAP Beratern oder als Teilprojektleiter in großen SAP Projekten von Vorteil ﻿Selbstständige und proaktive Arbeitsweise, Analytische und konzeptionelle Denkweise, ausgeprägte Kommunikationsfähigkeit auf Ebene des Teams und der Abteilungsleitung in multikulturellen Umgebungen  ﻿Sehr gute Deutsch- und EnglischkenntnisseReisebereitschaft, auch für gelegentliche   Auslandseinsätze"
Bankettmanagement /-leitung (w/m/d),Realotel Garching Hotelbetriebs GmbH Courtyard by Marriott Munich Garching,Garching b.München,Feste Anstellung,Vollzeit,"Am 01.06.2021 hat das Courtyard by Marriott München Garching eröffnet. Mit seinen 256 hellen und modernen Zimmern und einem Restaurant mit über 170 Plätzen ist es das Herzstück des Forschungscampus Garching bei München. Unser neues Hotel ist der Gastgeber für die Wirtschaft, Wissenschaft und Forschung. Das angrenzende Science Congress Center Munich mit seinen 14 Tagungsräumen und einem Audimax für bis zu 1300 Personen wird neue Trends auf dem Münchner Tagungsmarkt setzten.Wir sind ein Teil von Marriott International und schätzen Menschen, die ihre Träume verwirklichen.Das Courtyard by Marriott München Garching, das Science Congress Center Munich und das Stellaris Apartment Hotel werden von der Borealis Hotel Group betrieben.ARBEITEN IN EINEM INTELLIGENTEN UMFELDSEI DABEIAnstellungsart:Vollzeit","Abgeschlossene Ausbildung in der Hotellerie/Gastronomie und fundierte Kenntnisse in einer vergleichbaren PositionMehrjährige Führungserfahrung im Bankettservice sowie Erfahrung mit GroßveranstaltungenSehr gute Deutsch- und EnglischkenntnisseProfundes Know-how im Bereich F&B sowie kaufmännisches VerständnisFlexibilität, Belastbarkeit, Verantwortungsbewusstsein und DiskretionAusgeprägte Kommunikationsfähigkeit, Teamfähigkeit und sicheres Auftreten mit einem vorbildlichen ErscheinungsbildBitte beachte, dass Du über alle erforderlichen Dokumente und Genehmigungen für die Arbeit in Europa verfügst./ Please make sure that you have all the necessary documents and authorisations to work in Europe."
Duales Studium Master // Prozessingenieur Pharma (M/W/D),Process [.-ING],Idstein,"Ausbildung, Studium, Bachelor-/Master-/Diplom-Arbeiten, Studentenjobs, Werkstudent","Homeoffice möglich, Vollzeit","Die Process [.-ING] GmbH ist eine führende Beratungs- und Ingenieurgesellschaft für Bio- und Pharmaprozesstechnik. Wir planen und validieren für renommierte Pharmaunternehmen die Prozesse zur Herstellung von lebenswichtigen Biopharmazeutika und sterilen Arzneimitteln. Wir gestalten Technik für die Pharmafabrik der Zukunft.Erfolge werden von Menschen gemachtMit rund 300 hochqualifizierten Kolleginnen und Kollegen lösen wir an unseren Standorten in Deutschland, Österreich und der Schweiz als Berater, Experten und Generalplaner für komplexe Industrieprojekte alle Aufgaben von der Planung, über den Bau bis zum Betrieb von Wirkstoffproduktionen und Pharma-Fertigungsanlagen. Vom Neubau von Fabriken und Laboren bis zur Modernisierung bestehender Anlagen, vom Prozessdesign bis zum Projektmanagement, von der Weiterbildung bis zum Onboarding von Fach- und Führungskräften. Wir sind seit über 20 Jahren der unabhängige Partner nahezu aller namhaften Unternehmen der Life-Sciences-Branche. Zu unseren Kunden zählen sowohl mittelständische als auch global operierende Biotech- und Pharmaunternehmen.","IHR PROFIL:(+) Abgeschlossenes Hochschulstudium (B.Sc./ B.Eng.) in einem naturwissenschaftlichen oder technischen Studiengang mit einem MINT-Anteil von 70%.(+) Hohe Leistungsbereitschaft und Selbstständigkeit im Spannungsfeld aus Qualität und Technik, Kosten und Terminen.(+) Hohe Motivation und Disziplin für berufsbegleitendes Lernen.(+) Selbstständige und zielorientierte Arbeitsweise sowie analytische Fähigkeiten und strategisches Denken als Basis für die Fähigkeit zur Problemlösung und Entscheidungsfindung.(+) Kommunikations- und Teamfähigkeit sowie das Potenzial zur Führung und Zusammenarbeit. Darüber hinaus sind starke schriftliche und mündliche Kommunikationsfähigkeiten wichtig, um komplexe Ideen klar und überzeugend zu präsentieren."
(Senior) Consultant (m/w/d) Business Intelligence,MID GmbH,Nürnberg,Feste Anstellung,Vollzeit,"Teil von MID zu sein, bedeutet MIDgestalter:in zu sein! Gemeinsam als Team – aktuell 170 Kolleg:innen – brennen wir täglich darauf, den Wandel bei unseren Kunden in zukunftsfähige Mehrwerte zu überführen. Schneller denn je ändern sich durch neue Technologien und Wettbewerb die Randbedingungen für aktuelle Geschäftsmodelle. Um erfolgreich zu sein, sollten IT-Fähigkeiten, -Strukturen, -Assets und -Prozesse mindestens genauso schnell angepasst und weiterentwickelt werden können. Und genau hier setzen unsere Expert:innen zu Geschäftsprozessmanagement, Enterprise Architecture Management und Data Management an.MID – Driving Continuous TransformationBig Data, Datenintegrationen, Datenlandschaften – in deutschen Unternehmen und Behörden kommen tagtäglich große Datenmengen zusammen. Neben der passenden Struktur und Organisation, gilt es gleichzeitig eine Landschaft zu schaffen, von der diese Daten abgerufen werden können – und hier übernimmst Du Verantwortung! Dabei arbeitest Du wahlweise bei unserem Kunden vor Ort, bei MID oder aus Deinem Office.Übernehme intern sowie extern eine wichtige Rolle, denn wir suchen MIDgestalter:innen!","Dein Studium mit dem Schwerpunkt Informatik / Wirtschaftsinformatik oder eine vergleichbare Qualifikation hast Du abgeschlossen.Du verfügst über mind. 3-5 Jahre Erfahrung in agilen Business Intelligence- oder in Data Warehouse-ProjektenDu bringst Erfahrung in der Konzeption eventbasierter Schnittstellen mit, insbesondere mit Apache KafkaDu verfügst über SQL-Kenntnisse, hast mit einem ETL-Werkzeug (z. B. Oracle Data Integrator) gearbeitet und Daten modelliert; Idealerweise mit unserem Tool Innovator.Du willst Dein Wissen nachhaltig aufbauen, aktiv in einem Projekt mitwirken und verfügst über verhandlungssichere Deutschkenntnisse."
Quality Lead (m/w/d) Heilbronn & Auberbach,Unilever Deutschland Holding GmbH,"Heilbronn, Auerbach/Vogtland",Feste Anstellung,"Homeoffice möglich, Vollzeit","With 3.4 billion people in over 190 countries using our products every day, Unilever is a business that makes a real impact on the world. Work on brands that are loved and improve the lives of our consumers and the communities around us. We are driven by our purpose: to make sustainable living commonplace, and it is our belief that doing business the right way drives superior performance. At the heart of what we do is our people – we believe that when our people work with purpose, we will create a better business and a better world.At Unilever, your career will be a unique journey, grounded in our inclusive, collaborative, and flexible working environment. We don’t believe in the ‘one size fits all’ approach and instead we will equip you with the tools you need to shape your own future.We are currently looking within the Quality Department in our factory Heilbronn & Auerbach in full time for aQuality Lead Heilbronn & AuerbachJOB PURPOSEFind your purpose at Unilever. You will lead innovations, big and small, that will make our business win and grow. You will learn from brilliant business leaders and colleagues in a truly global and diverse culture to ultimately become a better you. If you are passionate about food safety and quality, thrive on leading a cross-site team, and enjoy driving compliance and continuous improvement, then this role is just for you.","Experiences & QualificationsCompleted scientific degree, preferably in the field of food scienceAt least 5 years of professional experience in quality assurance in a food production environmentSkills & CompetitenciesKnowledge of hygiene and food safety standards (e.g. FSSC 22000)Knowledge in the areas of HACCP and auditingTeam leadership skillsSense of responsibilityGood command of German and English, both written and spokenLeadershipYou are an inclusive motivator of people. Your team deliver with real passion, growing and learning from each other whilst delivering quick wins.You are still responsible for your own results and as a manager, you also need to motivate others to deliver with passion, creating an inclusive and engaging climate around you. You can balance challenge with support and coaching. You understand the wider business context and you are emotionally intelligent enough to motivate people to deliver what is needed.Critical SOL (Standards of Leadership) BehaviorsPERSONAL MASTERY: Sets high standards for themselves. Has emotional intelligence to take feedback, manage mood and motivations, and build empathy for others.PASSION FOR HIGH PERFORMANCE: Generates intensity and focus to motivate people to deliver results at speed. Takes personal responsibility and accountability for execution and results.TALENT CATALYST:Invests in people – coaches individuals and teams to realize their full potential. Creates an inclusive climate, empowering everyone to be at their best.PURPOSE & SERVICE:Has humility, understanding that leadership is service to others, inside and outside Unilever.CONSUMER LOVE:Invests time inside and outside to understand the needs of consumers.BUSINESS ACUMEN:Creates sustainable growth with purpose, engaging different partners across the system for change."
Senior Berater SAP S4HANA (m/w/d),Arvato Systems GmbH,"Gütersloh, Köln, Hamburg",Feste Anstellung,"Homeoffice möglich, Vollzeit","Als international agierender IT-Spezialist und Experte für Künstliche Intelligenz und Multi-Cloud Services unterstützt Arvato Systems namhafte Unternehmen bei der Digitalen Transformation. Rund 3.300 Mitarbeitende an weltweit über 25 Standorten stehen für hohes technisches Verständnis, Branchen-Know-how und einen klaren Fokus auf Kundenbedürfnisse. Als Team entwickeln wir innovative IT-Lösungen, bringen unsere Kunden in die Cloud, integrieren digitale Prozesse und übernehmen den Betrieb sowie die Betreuung von IT-Systemen.","Du verfügst über umfassende Berufserfahrung in internationalen SAP-BeratungsprojektenDu kennst dich mit betriebswirtschaftlichen Prozessen ausDu hast Erfahrung im Umgang mit FührungspersönlichkeitenAnalyse und Konzeption sowie Kommunikation gehören zu deinen StärkenDu verfügst über sehr gute Deutsch- und EnglischkenntnisseAuch wenn du nicht alle unsere Wünsche erfüllst, zögere nicht, dich bei uns zu bewerben, denn WEITERENTWICKLUNG unserer Mitarbeitenden wird bei uns großgeschrieben und eröffnet dir in unserem Unternehmen vielfältige Möglichkeiten."
Werkstudent (m/w/d) Information Services,Taylor Wessing PartG mbB,München,"Studentenjobs, Werkstudent",Teilzeit,"Taylor Wessing ist eine führende Wirtschaftskanzlei, die weltweit nationale und multinationale Unternehmen in allen Rechtsfragen berät. Wir stehen für exzellente Rechtsberatung, tiefgründig, in aller Breite und dennoch auf den Punkt. Mit unserem Leitgedanken „Challenge expectation, together“ verpflichten wir uns, das Erwartbare zu hinterfragen und über das Naheliegende hinaus zu denken. So finden wir die besten Lösungen: gemeinsam mit unseren Mandantinnen und Mandanten.Dieser Anspruch macht uns besonders in Bereichen stark, in denen die Meilensteine der Digitalisierung gesetzt werden: Technology, Life Sciences & Healthcare und Energy & Infrastructure. So gestalten wir heute die Geschäftsentwicklung unserer Mandanten mit den Potenzialen der Technologien von morgen.",Du befindest Dich in einem laufenden Studium der Rechts- oder Geisteswissenschaften oder in einem vergleichbaren Studiengang.Du bringst Neugierde für juristischen Themen mit und idealerweise ein erstes Verständnis für die juristische Fachsprache.Du bist fit im Umgang mit den MS-Office-Programmen und digitalen Medien.Deine Deutschkenntnisse sind fließend in Wort und Schrift und auf Englisch kannst du dich mündlich und schriftlich gut verständigen.Eine zuverlässige Arbeitsweise sowie Selbstständigkeit und Proaktivität zählen zu Deinen Stärken.Du hast Freude an Teamwork und an der Kommunikation.
Personalsachbearbeiter (all genders) Administration und Entgeltabrechnung,DATAGROUP,Pliezhausen,Feste Anstellung,"Homeoffice möglich, Vollzeit","DATAGROUP ist einer der führenden deutschen IT-Dienstleister – dank unseres engagierten Teams. Unsere Leidenschaft für Technologie und Innovation ermöglicht es uns, unseren Kunden verlässliche IT-Services zu liefern. Bei uns erwartet Dich ein fesselndes und anspruchsvolles Aufgabengebiet in einem innovativen Unternehmen. Eine offene Unter­nehmens­kultur, individuelle Weiter­bildungs­möglich­keiten sowie vielfältige Entwicklungs­chancen bedeuten einen Arbeitsplatz maßgeschneidert für Dich und Dein Leben.Personalsachbearbeiter (all genders) Administration und EntgeltabrechnungDGSE - 2025 - 0004","Du verfügst über eine abgeschlossene Ausbildung als Personal­fachkauffrau (all genders), Personal­dienst­leistungs­kauffrau (all genders) oder eine kauf­männische Ausbildung mit dem Schwerpunkt PersonalDu konntest bereits Berufserfahrung in der vorbereitenden Entgelt­abrechnung sammeln und kennst Dich in der allgemeinen Personal­sachbearbeitung ausDu bringst gute Kenntnisse im Steuer- und Sozial­versicherungs­recht mitDu pflegst einen routinierten Umgang mit MS Office und kannst gute Kenntnisse in SAP HCM vorweisenDu stehst für Serviceorientierung, soziale Kompetenz und Team- sowie KommunikationsfähigkeitDein sorgfältiger, selbstständiger und strukturierter Arbeitsstil rundet Dein Profil ab"
Professional Stammdaten Monitoring Zentralregulierung (m/w/d),REWE Group,Köln,Feste Anstellung,"Homeoffice möglich, Vollzeit","Ort:50668 Köln |Vertragsart:Vollzeit, unbefristet |Job-ID:916319Wir suchen Dich, die engagierte Allroundkraft, der bewusst ist, wie wichtig präzise gepflegte Stammdaten für einwandfrei funktionierende Geschäftsprozesse sind. Mit Deinem positiven, motiviert in die Zukunft gerichtetem Blick nach vorn freust Du Dich darüber hinaus darauf, an der Optimierung dieser Prozesse mitzuwirken.Was wir zusammen vorhaben:Bei uns ist kein Tag wie der andere. Im Bereich Zentralregulierungskoordination beschäftigen wir uns im Herzen der REWE Group mit dem Bereich Master Data, mit der Abrechnung nachträglicher Vergütungen und mit der Kontenüberwachung und Mahnwesen sowie der Regulierung an unsere Geschäftspartner. Weiterhin fungieren wir als Schnittstelle für interne und externe Kundenanfragen.Spannende und komplexe Aufgaben schrecken Dich nicht ab, sondern treiben Dich an? Dir bereitet es Freude, eigenverantwortlich zu arbeiten? Dann bist Du bei uns genau richtig. Der tiefe Einblick in die vielfältige Welt des Handels sind unser Tagesgeschäft. Wir sind stolz darauf, dass wir den kollegialen Umgang und ein sehr gutes Arbeitsklima in einem motivierten und kreativen Team pflegen.Was du bei uns bewegst:Du bist mittendrin: Als Teil unseres Teams übernimmst Du eigenständig Aufgaben rund um die Pflege von Konzernstammdaten im SAP-Umfeld.Du hast alles im Blick: Du erledigst Änderungen pünktlich und bringst deinen Beitrag zur Regulierung ein, damit alles reibungslos läuft.Deine Expertise ist gefragt: Mit Deiner Hilfe verbessern wir laufende Prozesse und stellen uns auf den Prüfstand. Du bist der fachliche Ansprechpartner für die Fachbereiche in Bezug auf alle Fragen rund Stammdaten, Regulierung, Mahnwesen und Kontenabstimmung.Du bist ganz vorne mit dabei: Du kommunizierst mit internen und externen Kunden. Dein Wort kommt an.Du siehst das große Ganze und magst es, ins Detail zu gehen: Mit Adleraugen kontrollierst Du relevante Unterlagen. Kontenabstimmung mit Akribie sind Dein Steckenpferd.Du bist neugierig und voller Tatendrang: Die Mitarbeit bei Prozessoptimierungen ist genau Dein Ding. Du bringst Dich gern ein.Was uns überzeugt:Zuallererst Deine Persönlichkeit: Dich zeichnen Qualitätsbewusstsein und die Freude am präzisen Arbeiten aus. Außerdem überzeugst Du durch Loyalität und eine kundenorientierte Grundhaltungsowie Vermittlungsgeschick sind Teil Deiner DNA.Du hast eine Ausbildung im kaufmännischen Umfeld absolviert und idealerweise einschlägige Berufserfahrung im Bereich Stammdatenpflege sowie Rechnungsabwicklung gesammelt. Buchhaltungskenntnisse sind wünschenswert.Du bist erfahren im Umgang mit SAP und gängigen MS-Office-Anwendungen.Du bist kommunikationsstark auch in Richtung unserer internen und externen Kunden.Du bist neugierig und denkst weiter.Was wir bieten:Die REWE Group als einer der größten Handels- und Touristikkonzerne Europas bietet einzigartige Voraussetzungen für alle, die etwas bewegen wollen. Entdecken Sie einen lebensnahen Arbeitgeber, der Ihnen Vertrauen schenkt, Gestaltungsfreiräume ermöglicht und durch flexible Strukturen Innovationen und frische Ideen fördert. Wer bei uns arbeitet und viel bewegt, darf auch viel erwarten:Attraktive Vergütung: Mit Sonderleistungen wie Urlaubs- und Weihnachtsgeld, vermögenswirksamen Leistungen, betrieblicher Altersvorsorge, Zuschüssen für Kantine und Deutschlandticket sowie Vorteilen beim Fahrrad-Leasing.Mitarbeiterrabatte: Bei REWE, PENNY, toom Baumarkt und DER Touristik.Work-Life-Balance: Mit flexibler Arbeitszeit ohne Kernzeiten, Homeoffice, Auszeitmodellen, Betriebskindergärten, zeitgemäßen Eltern-Kind-Büros, Unterstützung bei der Suche nach Kinderbetreuung und Pflege.Persönliche Weiterbildung: Mit umfassenden Seminarangeboten, fachspezifischen Akademien und E-Learnings.Gesundheitsmanagement: Mit Vorsorgeuntersuchungen, Sport-, Gesundheits- und Kochkursen.Weitere Informationen erhältst du unterjobs.rewe-group.com.Wir freuen uns auf deine Online-Bewerbung mit Angabe deiner Verfügbarkeit und Gehaltsvorstellung. Bewerbungsunterlagen in Papierform können wir leider nicht zurücksenden.Du hast Fragen zu dieser Position (Job-ID: 916319)? Dann melde dich bei unsererBewerbungshotlineunter0221 149-7110.Wir betonen ausdrücklich, dass bei uns alle Menschen - unabhängig von Geschlecht/geschlechtlicher Identität, ethnischer Herkunft und Nationalität, sozialer Herkunft, Religion/Weltanschauung, körperlicher und geistiger Fähigkeiten, Alter sowie sexueller Orientierung oder weiterer individueller Merkmale - gleichermaßen willkommen sind.",
Automation Engineer (m/w/d) PHARMA,Akkodis Germany GmbH,Alzey,Feste Anstellung,Vollzeit,"Wir von derAkkodis Life Sciencesbesetzen Projekte deutschlandweit für renommierte Kunden in der Pharma-, Biotech-, Chemie-Branche. Von Start-Ups, Familienunternehmen, Mittelständlern, bis hin zu weltweiten Big Playern, haben wir die unterschiedlichsten Kunden und Anforderungen.Start: ASAPStandort: Großraum Mannheim / MainzAuslastung: VollzeitGehalt, je nach Erfahrung, zwischen 75.000- 110.000€ paReisen zu Lieferanten und Produktionsstandorten im europäischen Raum.Industrielles Arbeitsumfeld, das manchmal flexible Arbeitszeiten erfordert.","Abgeschlossenes Studium in den Bereichen Ingenieurwesen, Automatisierung, Informatik oder einem verwandten Fachgebiet.Nachgewiesene Erfahrung in der technischen Unterstützung und Integration von automatisierten Systemen.Fundierte Kenntnisse von HMI, SPS-Systemen und Integrationsplattformen.Kenntnisse cGMP, CSV, GAMP5Step 7 TIA Portal und WinCC (Advanced, Professional, SCADA)Ausgezeichnete Kommunikations- und Projektmanagementfähigkeiten.Fähigkeit, selbstständig und im Team zu arbeiten.Vorteilhaft:Kenntnisse in den Bereichen Quellcodeprüfung und Konfigurationsmanagement.Fähigkeit, mehrere Projekte gleichzeitig in einem dynamischen Umfeld zu verwalten.Gute Kenntnisse der C&Q-Aktivitäten in der Prozessautomatisierungsarbeit"
