title,company,location,job_type,employment_type,description,requirements
Business Analyst (m/w/d) - im Team Data Science Solutions,Markant Gruppe,Offenburg,Feste Anstellung,"Homeoffice möglich, Vollzeit","Die Markant Gruppe ist eines der grössten Dienstleistungsunternehmen in Europa für Handels- und Industriepartner aus dem Food- und Nonfood-Bereich. 
								Unser breites Lösungsportfolio reicht von der Vereinfachung von Datenströmen und Zahlungsabwicklungen über exklusive Finanz- und Versicherungs-Services bis hin zu modernsten Marktforschungstools. 
								Dahinter steckt die Idee: Kunden im operativen Tagesgeschäft zu entlasten, damit sie sich auf ihr Kerngeschäft konzentrieren können. 
								Was noch dahintersteckt: Das Engagement von über 1000 Mitarbeitern, die mit fundiertem Know-how für exzellente Leistungen sorgen. 
								Eine einzigartige Chance auch für Sie, um sich beruflich bei uns einzubringen und gemeinsam mit uns zu wachsen.","Du hast ein erfolgreich abgeschlossenes Bachelor-Studium oder eine vergleichbare Qualifikation.Du verfügst bereits über PowerBI-, Python- und Databricks-Kenntnisse.Du besitzt eine gute Kommunikationsfähigkeit und arbeitest gerne im Team.Du liebst es, selbstständig zu arbeiten und schaust gerne über den Tellerrand hinaus.Du besitzt idealerweise bereits Erfahrung in der Analyse von Daten.Du sprichst fliessend Deutsch und hast gute Englischkenntnisse."
Procurement Specialist (m/w/d) Data Science & AI,Leadec Management Central Europe BV & Co. KG,Stuttgart,Feste Anstellung,"Homeoffice möglich, Vollzeit","Wir sorgen mit unseren Services jeden Tag dafür, dass in der Produktion unserer Kunden auf der ganzen Welt alles rund läuft. Dabei denken wir in Lösungen und optimieren entlang des gesamten Prozesses - von der Planung bis zur Instandhaltung, Modernisierung und Digitalisierung. Als Servicespezialist in der Fertigungsindustrie wissen wir, dass Menschen den Unterschied machen. Respekt, Teamspirit und Vielseitigkeit zeichnen das Arbeiten bei Leadec aus. Auf unsere Arbeit sind wir stolz - über 22.500 unterschiedliche Persönlichkeiten an über 350 Standorten auf vier Kontinenten seit über 60 Jahren.","Ausbildung: Bachelor- oder Masterabschluss in den Bereichen Wirtschaftsinformatik, Informatik, Data Science, Betriebswirtschaftslehre, Wirtschaftsingenieurwesen oder eine vergleichbare QualifikationErfahrung:Mehrjährige Berufserfahrung in den Bereichen IT, Beschaffung und Prozessverbesserung; fundierte ProjektmanagementerfahrungKenntnisse: Fundierte IT & ERP-Systemkenntnisse (u. a. AI-Software, Programmiersprachen wie Python, Einkaufslösungen, etc.)Arbeitsweise:Eigenständige, lösungsorientierte und strukturierte Arbeitsweise mit hohem Qualitätsanspruch zur Strukturierung und Systematisierung komplexer Prozesse sowie die Fähigkeit parallellaufende Projekte zu managen und zu priorisierenPersönlichkeit:Ausgeprägte Kommunikations- und Sozialkompetenz, Motivation und DurchsetzungsvermögenSprachen: Verhandlungssichere Deutsch- und Englischkenntnisse"
DHBW Studium - Data Science und Künstliche Intelligenz,Liebherr-International Deutschland GmbH,Biberach,,,"​Die Liebherr-Werk Biberach GmbH stellt hochwertige Turmdrehkrane und Mobilbaukrane her. Schnelleinsatzkrane, Obendreherkrane und Mobilbaukrane sind weltweit erfolgreich im Einsatz und stehen für Umschlagleistung und Wirtschaftlichkeit","Allgemeine Hochschulreife, Fachgebundene Hochschulreife oder Fachhochschulreife mit allgemeinem StudierfähigkeitstestInteresse an Wirtschaftsinformatik und Künstlicher IntelligenzGute EnglischkenntnisseAnalytisches Denkvermögen sowie eine ausgeprägte KommunikationsfähigkeitSelbstständige, strukturierte und zugleich teamorientierte ArbeitsweiseEigeninitiative und hohe Einsatzbereitschaft"
Werkstudent im Bereich Data Science mit Python & Databricks (m/w/d),ARAG SE,Düsseldorf,"Studentenjobs, Werkstudent","Homeoffice möglich, Teilzeit","Weshalb Sie bei uns genau richtig sind? Weil wir für Sie nicht nur viele spannende Aufgaben haben, sondern vor allem eine echte Mission: Wir helfen Menschen! Mit Ihren besonderen Fähigkeiten leisten Sie Ihren Beitrag, dass wir für unsere Kunden da sein können. Wenn mal etwas passiert und wenn möglich, auch schon vorher. Entfalten Sie Ihre Stärken in einem international erfolgreichen Familienunternehmen, in dem Unabhängigkeit, Fairness und Chancengleichheit gemeinsam gelebt werden. Jeden Tag aufs Neue. Wir freuen uns auf Sie!","Studium & Methodik:Du bist eingeschriebener Student (m/w/d) in einem quantitativen Fach (z.B. Data Science, Mathematik, Wirtschaftsinformatik, Statistik) und bringst eine strukturierte, analytische Arbeitsweise mitMachine Learning & Data Engineering:Du hat Erfahrung im Aufbau und Betrieb von ML-Pipelines, Verständnis für Feature Engineering, Modell-Monitoring und DataOps-PrinzipienTechnische Expertise:Du verfügst über tiefgreifende Kenntnisse in Python (inkl. Bibliotheken wie Pandas, PySpark, scikit-learn). Du hast Praxiiserfahrung in Databricks und Azure-Services (Data Factory, SQL Data Warehouse, Azure ML) sowie einen sicheren Umgang mit SQL und NoSQL-DatenbankenSprach- & Kommunikationsfähigkeit:Du beherrschst Deutsch auf muttersprachlichem Niveau sowie Englisch sicher in Wort und SchriftTeamplayer & Lernbereitschaft:Du verfügst über ein hohes Maß an Eigeninitiative, Zuverlässigkeit und Freude an interdisziplinärer ZusammenarbeitInteresse an Finance-Themen:Du interessierst dich für finanzwirtschaftliche Zusammenhänge, Unternehmenskennzahlen und möchtest aktiv zur Optimierung von Prozessen im Finanzbereich beitragen"
Duales Studium Data Science & Künstliche Intelligenz (B.Sc.) 2026,Deloitte,"Düsseldorf, Mannheim, Stuttgart","Ausbildung, Studium",Vollzeit,"Du machst den Unterschied.Ob im Business Audit & Assurance, Tax & Legal, Consulting oder Advisory. Wir bei Deloitte unterstützen unsere weltweiten Mandanten dabei, sich kontinuierlich weiterzuentwickeln und zu wachsen. Entdecke ein vielfältiges Arbeitsumfeld, das ständig in Bewegung ist und immer um ein Zentrum kreist: dich und dein Know-how. What impact will you make?Du willst mit einem3-jährigendualen Studiumden Grundstein für deine Karriere legen und vollwertiges Teammitglied im BereichTax & Legalwerden? Starte zum1.10.2026deinduales Studium Data Science & Künstliche Intelligenz (B.Sc.)bei Deloitte und unserer Kooperationshochschule DHBW Mannheim.Standorte:Düsseldorf, Mannheimoder Stuttgart.","(Fach-)Hochschulreifemit sehr guten Noten in den Hauptfächern und sehr guten Deutschkenntnissen (C1-C2)Idealerweise erste Erfahrungenim Informatikbereich, z. B. durch ein PraktikumSoftware-Kenntnisseim Umgang mit MS Office und digitalen KommunikationsmittelnLust auf Herausforderungen, Spaß an Kommunikation und am Umgang mit Zahlen sowie mit Menschen"
Duales Studium Data Science und KI - Smart Operations Management 2026,Lidl Stiftung & Co. KG,Neckarsulm,"Ausbildung, Studium",Vollzeit,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen und internationalen Umfeld. Bei Lidl findet jeder seine persönliche Herausforderung. Denn Lidl lohnt sich. Dein duales Studium startet am 1. September 2026 mit einem bezahlten Begrüßungsmonat bei der Lidl Stiftung.","(Fach-) Abitur mit guten Noten – insbesondere in Mathematik, Deutsch und EnglischGutes Zahlenverständnis und analytische FähigkeitenBereitschaft, früh Verantwortung in Projekten mit internationaler Ausrichtung zu übernehmenÜberzeugend im Auftreten, stark in der Kommunikation und SelbstständigkeitSpaß an Teamwork und Bereitschaft zur MobilitätÜberdurchschnittliche Sprachkenntnisse in Deutsch und Englisch"
Duales Studium Wirtschaftsinformatik - Data Science 2026,Lidl Stiftung & Co. KG,Neckarsulm,"Ausbildung, Studium",Vollzeit,"Eine gute Idee war der Ursprung, ein erfolgreiches Konzept ist das Ergebnis. Qualität zum guten Preis möglichst vielen Menschen anbieten zu können treibt uns an - mittlerweile weltweit, denn wir sind Lidl. Hier ist das berufliche Zuhause vielfältiger Talente. Ob im Einkauf, in der Logistik, im Warengeschäft oder in der IT; ob als Impulsgeber, Gestalter oder Dienstleister der Länder. Wir suchen Anpacker, Durchstarter, Möglichmacher und bieten spannende Aufgaben und Projekte in einem dynamischen und internationalen Umfeld. Bei Lidl findet jeder seine persönliche Herausforderung. Denn Lidl lohnt sich. Dein duales Studium startet am 1. September 2026 mit einem bezahlten Begrüßungsmonat bei der Lidl Stiftung.","(Fach-) Abitur mit guten Noten – insbesondere in Mathematik, Informatik, Deutsch, Englisch und WirtschaftBereitschaft, früh Verantwortung in Projekten mit internationaler Ausrichtung zu übernehmenLeidenschaft für IT und Interesse daran, betriebs-wirtschaftliche Herausforderung mithilfe moderner Technik zu meisternÜberzeugendes und selbstbewusstes Auftreten sowie eine selbstständige ArbeitsweiseSpaß an Teamwork und Bereitschaft zur MobilitätÜberdurchschnittliche Sprachkenntnisse in Deutsch und Englisch"
Lehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science,Land Schleswig Holstein,Lübeck,Feste Anstellung,Vollzeit,"Die Technische Hochschule Lübeck ist eine zukunftsorientierte Hochschule, gute Lehre und Forschung sind unser Fundament. Hier studieren, lehren und forschen ca. 5000 Studierende und 130 Professor*innen in vier Fachbereichen, unterstützt von rund 400 Mitarbeiterinnen und Mitarbeitern. Das Profil der TH Lübeck – Technik, Ressourcen, Lebenswelten- beruht auf den fachlichen Schwerpunkten in den Bereichen Technik, Naturwissenschaften, Architektur und Wirtschaft. Mit unserer Expertise und unseren Erfahrungen sind wir in digitaler Lehre, mit internationalen Studienangeboten, sowie in Forschung und Transfer außerordentlich erfolgreich und überregional anerkannt. Hochwertige, praxisorientierte Lehre und anwendungsorientierte Forschung bereiten unsere Studierende bestmöglich auf den Arbeitsmarkt vor. Wenn Sie die Technische Hochschule Lübeck gemeinsam mit uns weiterentwickeln möchten, kommen Sie an den Campus Lübeck, in eine Stadt mit ausgesprochen hoher Lebensqualität!An der Technischen Hochschule Lübeck ist am Fachbereich Elektrotechnik und Informatik zum nächstmöglichen Zeitpunkt eine Stelle alsLehrkraft für besondere Aufgaben (m/w/d) für den Bereich Data Science-Kennziffer 386-unbefristet zu besetzen.Die Eingruppierung erfolgt bei Erfüllung der tariflichen Voraussetzungen bis zur Entgeltgruppe 13 Entgeltordnung TV-L. Die Arbeitszeit beträgt 100% einer Vollzeitbeschäftigung (derzeit 20 Semesterwochenstunden).","Ein abgeschlossenes wissenschaftliches Hochschulstudium (Master oder Diplom) in der Informatik oder Wirtschaftsinformatik oder ähnlichem Fachgebiet mit einem Schwerpunkt auf Data Science, Künstliche Intelligenz (KI), Machine Learning (ML) oder Deep Learning (DL)Umfangreiche Kenntnisse und praktische Erfahrungen in Data ScienceKenntnisse in einem der Bereiche Machine/Deep Learning oder Large Language ModelsKenntnisse in Wirtschaftsinformatikthemen sind von VorteilBerufserfahrung in industrienaher Forschung und/ oder Wirtschaftserfahrung ist von VorteilSelbständiges, teamorientiertes und kreatives Arbeiten mit hoher Eigeninitiative sowie FlexibilitätInterdisziplinäres Denken, ausgeprägte Fähigkeit, komplexe Sachverhalte strukturiert zu analysieren und adressatengerecht aufzuarbeitenSehr gute Deutsch- und Englischkenntnisse in Wort und SchriftAusgeprägte kommunikative Fähigkeiten, Offenheit sowie sicheres Auftreten und soziale Kompetenz"
Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),Schwarz Corporate Solutions,"Neckarsulm, Heilbronn","Ausbildung, Studium",Vollzeit,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischenDaten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen.Studienbeginn:01.09.2026 mit dem Begrüßungsmonat,Studienstart:zum 01.10.2026Studiendauer:3 JahrePraxisort:Deine Praxisphasen verbringst du an unseren Standorten im Raum Heilbronn/NeckarsulmStammbereich:verschiedene Fachbereiche der STACKITStudienort:DHBW HeilbronnStudienabschluss:Bachelor of ScienceVergütung:1. Jahr 1.650 €, 2. Jahr 1.750€, 3. Jahr 1.950€ + Prämie bei gutem oder sehr gutem Bestehen der AbschlussprüfungStudieninfos:Weitere Informationen findest du unterwww.heilbronn.dhbw.de","Du bringst die Allgemeine Hochschulreife oder einen vergleichbaren Abschluss mit sehr guten Noten in Mathematik, Informatik und guten Noten in Englisch mit.Du hast großes Interesse an modernen IT-Lösungen für betriebswirtschaftliche Anforderungen der Unternehmen der Schwarz Gruppe und stellst gerne die Schnittstelle zwischen Fachbereich und IT zu technischen oder prozessualen Fragestellungen dar.Du bist verlässlich, kommunikativ und ein Teamplayer.Du konntest bereits erste Erfahrungen mit der Nutzung von künstlicher Intelligenz sammeln.Du hast Lust auf Einzelhandel und internationale Projektarbeit sowie gute Kenntnisse in MS Office."
Duales Studium Data Science und Künstliche Intelligenz 2026 (m/w/d),STACKIT,"Neckarsulm, Heilbronn","Ausbildung, Studium",Vollzeit,"Als weltweit agierendes Unternehmen benötigen wir eine IT-Landschaft, die jederzeit reibungslos funktioniert, sich stets auf dem neuesten Stand der Technik befindet und sich an den Bedürfnissen unserer Kunden innerhalb der Unternehmen der Schwarz Gruppe orientiert. An der Schnittstelle zwischenDaten und IT erarbeiten wir tragfähige Lösungen, die maßgeblich und sichtbar zu unserem Erfolg beitragen.Studienbeginn:01.09.2026 mit dem Begrüßungsmonat,Studienstart:zum 01.10.2026Studiendauer:3 JahrePraxisort:Deine Praxisphasen verbringst du an unseren Standorten im Raum Heilbronn/NeckarsulmStammbereich:verschiedene Fachbereiche der STACKITStudienort:DHBW HeilbronnStudienabschluss:Bachelor of ScienceVergütung:1. Jahr 1.650 €, 2. Jahr 1.750€, 3. Jahr 1.950€ + Prämie bei gutem oder sehr gutem Bestehen der AbschlussprüfungStudieninfos:Weitere Informationen findest du unterwww.heilbronn.dhbw.de","Du bringst die Allgemeine Hochschulreife oder einen vergleichbaren Abschluss mit sehr guten Noten in Mathematik, Informatik und guten Noten in Englisch mit.Du hast großes Interesse an modernen IT-Lösungen für betriebswirtschaftliche Anforderungen der Unternehmen der Schwarz Gruppe und stellst gerne die Schnittstelle zwischen Fachbereich und IT zu technischen oder prozessualen Fragestellungen dar.Du bist verlässlich, kommunikativ und ein Teamplayer.Du konntest bereits erste Erfahrungen mit der Nutzung von künstlicher Intelligenz sammeln.Du hast Lust auf Einzelhandel und internationale Projektarbeit sowie gute Kenntnisse in MS Office."
